currency,scenario,option_tenor,swap_tenor,market_price,model_price
EUR,up,6.0,5.0,0.0013451976333365028,0.0013692883178070857
EUR,up,5.0,6.0,0.001478906146693173,0.0015376544658823221
EUR,up,4.0,7.0,0.0016734883617798436,0.0016402273639663104
EUR,up,3.0,8.0,0.0016767333306508146,0.0016767333185139898
EUR,up,2.0,9.0,0.0017261711393868346,0.0015958940069284895
EUR,up,1.0,10.0,0.001535711348819717,0.001286940885589841
EUR,down,10.0,1.0,7.286532519625122e-05,0.0001011213570809098
EUR,down,9.0,2.0,0.000163944543216419,0.00018501793095572412
EUR,down,8.0,3.0,0.0002433709498461832,0.0002585208910237345
EUR,down,7.0,4.0,0.00029635242137365645,0.00031964636234963324
EUR,down,6.0,5.0,0.00036796971035922115,0.0003679697103291397
EUR,down,5.0,6.0,0.00039561980257398697,0.00040231079326399975
EUR,down,4.0,7.0,0.00043809199511487396,0.0004059066624003349
EUR,down,3.0,8.0,0.00042920601967944217,0.0004019991879252901
EUR,down,2.0,9.0,0.00043165780200637803,0.0003689927612288054
EUR,down,1.0,10.0,0.0003749686167587794,0.00027110856823055977
EUR,steepener,10.0,1.0,0.00015402625116175083,0.00021574285302799516
EUR,steepener,9.0,2.0,0.00031453422885653577,0.00041032212822849815
EUR,steepener,8.0,3.0,0.00045408791235787533,0.0005004190630682933
EUR,steepener,7.0,4.0,0.000556856120051344,0.0005568562888534264
EUR,steepener,6.0,5.0,0.0007056925285014319,0.0005947585051241041
EUR,steepener,5.0,6.0,0.0007794008176300353,0.0006224268922986858
EUR,steepener,4.0,7.0,0.0008682184682378543,0.0008682135748693491
EUR,steepener,3.0,8.0,0.0008671501419650747,0.0008891688374799379
EUR,steepener,2.0,9.0,0.0009040093546411232,0.0008980251178610539
EUR,steepener,1.0,10.0,0.0008192041757127529,0.0011656339055239227
EUR,flatten,10.0,1.0,0.00021236275277331407,0.0005191172004928593
EUR,flatten,9.0,2.0,0.0005083185251435568,0.0007887883872758492
EUR,flatten,8.0,3.0,0.0007771508403009524,0.0009875404542214294
EUR,flatten,7.0,4.0,0.0009606229274926992,0.0011244005282371441
EUR,flatten,6.0,5.0,0.0012039977595323713,0.001224788022006309
EUR,flatten,5.0,6.0,0.0013027184226250105,0.0013027184226158779
EUR,flatten,4.0,7.0,0.0014659753003552279,0.0012042510298262477
EUR,flatten,3.0,8.0,0.001450519149125635,0.0012395004170584597
EUR,flatten,2.0,9.0,0.0014610260412165582,0.0012249110929119784
EUR,flatten,1.0,10.0,0.001266105413471606,0.000896698502403084
EUR,short_up,10.0,1.0,0.00018361047093568925,0.00025983615840348835
EUR,short_up,9.0,2.0,0.0003754635511109589,0.0004923802948514376
EUR,short_up,8.0,3.0,0.0005433036321767603,0.0005999066433413243
EUR,short_up,7.0,4.0,0.0006682881426812983,0.0006682881450385287
